sampleId	sampleName	地址	经度	纬度	环境图片	门图片地址	纲图片地址	目图片地址	科图片地址	属图片地址
1	1	生科草坪	116.313664	39.99243	pic/env/N-1.jpg	pic/pie_charts_level2/pie_chart_level2-1.png	pic/pie_charts_level3/pie_chart_level3-1.png	pic/pie_charts_level4/pie_chart_level4-1.png	pic/pie_charts_level5/pie_chart_level5-1.png	pic/pie_charts_level6/pie_chart_level6-1.png
2	10	三教	116.313518	39.9893	pic/env/N-10.jpg	pic/pie_charts_level2/pie_chart_level2-2.png	pic/pie_charts_level3/pie_chart_level3-2.png	pic/pie_charts_level4/pie_chart_level4-2.png	pic/pie_charts_level5/pie_chart_level5-2.png	pic/pie_charts_level6/pie_chart_level6-2.png
3	11	燕园大厦	116.314498	39.98775	pic/env/N-11.jpg	pic/pie_charts_level2/pie_chart_level2-3.png	pic/pie_charts_level3/pie_chart_level3-3.png	pic/pie_charts_level4/pie_chart_level4-3.png	pic/pie_charts_level5/pie_chart_level5-3.png	pic/pie_charts_level6/pie_chart_level6-3.png
4	12	邱德拔	116.314556	39.98891	pic/env/N-12.jpg	pic/pie_charts_level2/pie_chart_level2-4.png	pic/pie_charts_level3/pie_chart_level3-4.png	pic/pie_charts_level4/pie_chart_level4-4.png	pic/pie_charts_level5/pie_chart_level5-4.png	pic/pie_charts_level6/pie_chart_level6-4.png
5	13	五四运动场	116.313498	39.98799	pic/env/N-13.jpg	pic/pie_charts_level2/pie_chart_level2-5.png	pic/pie_charts_level3/pie_chart_level3-5.png	pic/pie_charts_level4/pie_chart_level4-5.png	pic/pie_charts_level5/pie_chart_level5-5.png	pic/pie_charts_level6/pie_chart_level6-5.png
6	14	对外汉语教育学院	116.311582	39.98797	pic/env/N-14.jpg	pic/pie_charts_level2/pie_chart_level2-6.png	pic/pie_charts_level3/pie_chart_level3-6.png	pic/pie_charts_level4/pie_chart_level4-6.png	pic/pie_charts_level5/pie_chart_level5-6.png	pic/pie_charts_level6/pie_chart_level6-6.png
7	16	农园	116.312125	39.98933	pic/env/N-16.jpg	pic/pie_charts_level2/pie_chart_level2-7.png	pic/pie_charts_level3/pie_chart_level3-7.png	pic/pie_charts_level4/pie_chart_level4-7.png	pic/pie_charts_level5/pie_chart_level5-7.png	pic/pie_charts_level6/pie_chart_level6-7.png
8	17	燕南园	116.310233	39.99068	pic/env/N-17.jpg	pic/pie_charts_level2/pie_chart_level2-8.png	pic/pie_charts_level3/pie_chart_level3-8.png	pic/pie_charts_level4/pie_chart_level4-8.png	pic/pie_charts_level5/pie_chart_level5-8.png	pic/pie_charts_level6/pie_chart_level6-8.png
9	18	光华管理学院	116.311313	39.99054	pic/env/N-18.jpg	pic/pie_charts_level2/pie_chart_level2-9.png	pic/pie_charts_level3/pie_chart_level3-9.png	pic/pie_charts_level4/pie_chart_level4-9.png	pic/pie_charts_level5/pie_chart_level5-9.png	pic/pie_charts_level6/pie_chart_level6-9.png
10	19	地学楼	116.311801	39.99194	pic/env/N-19.jpg	pic/pie_charts_level2/pie_chart_level2-10.png	pic/pie_charts_level3/pie_chart_level3-10.png	pic/pie_charts_level4/pie_chart_level4-10.png	pic/pie_charts_level5/pie_chart_level5-10.png	pic/pie_charts_level6/pie_chart_level6-10.png
11	2	东侧门	116.315041	39.99293	pic/env/N-2.jpg	pic/pie_charts_level2/pie_chart_level2-11.png	pic/pie_charts_level3/pie_chart_level3-11.png	pic/pie_charts_level4/pie_chart_level4-11.png	pic/pie_charts_level5/pie_chart_level5-11.png	pic/pie_charts_level6/pie_chart_level6-11.png
12	20	图书馆	116.310716	39.99188	pic/env/N-20.jpg	pic/pie_charts_level2/pie_chart_level2-12.png	pic/pie_charts_level3/pie_chart_level3-12.png	pic/pie_charts_level4/pie_chart_level4-12.png	pic/pie_charts_level5/pie_chart_level5-12.png	pic/pie_charts_level6/pie_chart_level6-12.png
13	45312	一教	116.310148	39.99256	pic/env/N-21.jpg	pic/pie_charts_level2/pie_chart_level2-13.png	pic/pie_charts_level3/pie_chart_level3-13.png	pic/pie_charts_level4/pie_chart_level4-13.png	pic/pie_charts_level5/pie_chart_level5-13.png	pic/pie_charts_level6/pie_chart_level6-13.png
14	45343	百周年纪念讲堂	116.31058	39.9899	pic/env/N-22.jpg	pic/pie_charts_level2/pie_chart_level2-14.png	pic/pie_charts_level3/pie_chart_level3-14.png	pic/pie_charts_level4/pie_chart_level4-14.png	pic/pie_charts_level5/pie_chart_level5-14.png	pic/pie_charts_level6/pie_chart_level6-14.png
